FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,50.167546,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,48.044111,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,47.782184,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,50.567642,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,50.875197,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,51.06059,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,53.615459,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,53.627836,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,50.781605,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,49.807036,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,53.823766,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,53.778111,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,53.257391,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,46.75187,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,46.850852,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,45.419666,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,45.846404,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,47.420038,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,48.078003,,
A,Annuale,ITD2,Provincia Autonoma Trento,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,48.943913,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,43.304225,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,43.875403,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,41.579428,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,42.65878,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,44.033522,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,46.239175,,
A,Annuale,ITD3,Veneto,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,45.865782,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,42.239287,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,41.510371,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,41.699172,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,42.619492,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,43.728384,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,44.076897,,
A,Annuale,ITD4,Friuli-Venezia Giulia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,45.26687,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,46.080285,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,47.09218,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,45.169144,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,45.303208,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,46.431936,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,46.956019,,
A,Annuale,ITD5,Emilia-Romagna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,46.518636,,
