FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,HOLDER_SECTOR_PUBPRIV,Settore del titolare,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_HOLDER_SECTOR_PUBPRIV,Settore del titolare (NOTE_HOLDER_SECTOR_PUBPRIV),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2019,33.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2020,33.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2021,36.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2022,36.6,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2023,38.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2013,22.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2014,23.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2015,24,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2016,25.2,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2017,25.8,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2018,27,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
