FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,FULL_PART_TIME,Regime orario,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_FULL_PART_TIME,Regime orario (NOTE_FULL_PART_TIME),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2015,13.28,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2016,13.32,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2017,13.12,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2018,14.01,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2019,13.05,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2020,13.25,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2021,13.44,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2022,13.34,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2014,8.32,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2015,8.33,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
