FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2019,47.089482,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2020,45.296665,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2021,46.900648,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2022,49.80696,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2023,50.955728,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-34,15-34 anni,99,Totale,2024,50.726809,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2018,75.938142,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2019,76.249955,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2020,73.592344,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2021,74.364784,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2022,76.010958,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,76.769563,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,77.613997,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2018,87.692097,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2019,87.93001,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2020,87.107363,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2021,86.609542,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2022,88.636603,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2023,89.374303,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,7,Diploma,2024,88.904407,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2018,91.944578,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2019,92.746132,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2020,92.405399,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2021,93.073356,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2022,94.04313,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2023,94.481592,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,11,Laurea e post-laurea,2024,94.854023,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2018,84.206866,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2019,84.694037,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2020,83.375587,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2021,83.557729,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2022,85.384379,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y35-44,35-44 anni,99,Totale,2023,86.591812,,
