FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,6.313949,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,6.093906,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,2.324341,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,2.883342,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,3.888261,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,4.997768,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,5.247425,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,6.208026,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,6.928659,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,3.92151,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,4.480734,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,3.437541,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,4.777317,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,4.974503,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,6.269476,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,6.454071,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,3.039229,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,3.585947,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,3.698594,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,7.928861,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,6.529893,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,7.664793,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,7.189524,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,6.376729,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,5.916232,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,6.463339,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,9.747417,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,10.304834,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,10.902805,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,9.723407,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,7.495237,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,7.323421,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,2.65032,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,8.735291,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,8.226981,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,9.10039,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,8.296197,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,6.861286,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,6.535976,,
A,Annuale,ITD2,Provincia Autonoma Trento,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,4.777107,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,10.083768,,
A,Annuale,ITD3,Veneto,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,8.872672,,
