FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,POSIZ_PROF,Posizione professionale,PERM_TEMP_EMPLOYEES,Carattere occupazione dipendente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,1038.342,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1051.394,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1093.374,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2018,1177.317,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2019,1179.475,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2020,1154.774,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2021,1179.985,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2022,1253.94,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2023,1256.488,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,9,Totale,2024,1291.577,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,214.209,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,218.818,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,219.661,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,221.723,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,219.864,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,235.609,,
A,Annuale,ITE2,Umbria,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,240.99,,
