FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,TYPE_MANAGEMENT,Tipo di gestione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_TYPE_MANAGEMENT,Tipo di gestione (NOTE_TYPE_MANAGEMENT),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,MDO,Comunale a gestione diretta,2023,802750225,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,MMETP,Comunale a gestione affidata a terzi,2023,384925176,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,PRPM,Privata con riserva di posti da parte del comune,2023,123724929,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,PCM,Privata senza riserva di posti da parte del comune,2023,25263491,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,79706728,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ALL,Tutte le voci,ALL,Tutte le voci,2023,1416370549,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNUR,Nidi e sezioni primavera,MDO,Comunale a gestione diretta,2023,188622235,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNUR,Nidi e sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,119958657,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNUR,Nidi e sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,23008906,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNUR,Nidi e sezioni primavera,ALL,Tutte le voci,2023,331589798,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),CDNUR,Nidi,MDO,Comunale a gestione diretta,2023,183429355,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),CDNUR,Nidi,MMETP,Comunale a gestione affidata a terzi,2023,117992806,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),CDNUR,Nidi,PRPM,Privata con riserva di posti da parte del comune,2023,22464589,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),CDNUR,Nidi,ALL,Tutte le voci,2023,323886750,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNISC,Sezioni primavera,MDO,Comunale a gestione diretta,2023,5192880,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNISC,Sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,1965851,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNISC,Sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,544317,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),DNISC,Sezioni primavera,ALL,Tutte le voci,2023,7703048,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ISERIDC,Servizi integrativi per la prima infanzia,MDO,Comunale a gestione diretta,2023,1122992,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ISERIDC,Servizi integrativi per la prima infanzia,MMETP,Comunale a gestione affidata a terzi,2023,1352594,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ISERIDC,Servizi integrativi per la prima infanzia,PRPM,Privata con riserva di posti da parte del comune,2023,233540,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ISERIDC,Servizi integrativi per la prima infanzia,ALL,Tutte le voci,2023,2709126,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ALL,Tutte le voci,MDO,Comunale a gestione diretta,2023,189745227,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ALL,Tutte le voci,MMETP,Comunale a gestione affidata a terzi,2023,121311251,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ALL,Tutte le voci,PRPM,Privata con riserva di posti da parte del comune,2023,23242446,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPUSERS,Compartecipazione degli utenti alla spesa totale (euro),ALL,Tutte le voci,ALL,Tutte le voci,2023,334298924,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNUR,Nidi e sezioni primavera,MDO,Comunale a gestione diretta,2023,19.2,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNUR,Nidi e sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,24.1,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNUR,Nidi e sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,16.8,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNUR,Nidi e sezioni primavera,ALL,Tutte le voci,2023,19.3,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),CDNUR,Nidi,MDO,Comunale a gestione diretta,2023,19.2,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),CDNUR,Nidi,MMETP,Comunale a gestione affidata a terzi,2023,24.2,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),CDNUR,Nidi,PRPM,Privata con riserva di posti da parte del comune,2023,17.1,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),CDNUR,Nidi,ALL,Tutte le voci,2023,19.5,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNISC,Sezioni primavera,MDO,Comunale a gestione diretta,2023,19.5,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNISC,Sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,19.3,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNISC,Sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,10.4,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),DNISC,Sezioni primavera,ALL,Tutte le voci,2023,14.1,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ISERIDC,Servizi integrativi per la prima infanzia,MDO,Comunale a gestione diretta,2023,10.7,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ISERIDC,Servizi integrativi per la prima infanzia,MMETP,Comunale a gestione affidata a terzi,2023,16.6,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ISERIDC,Servizi integrativi per la prima infanzia,PRPM,Privata con riserva di posti da parte del comune,2023,2.3,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ISERIDC,Servizi integrativi per la prima infanzia,ALL,Tutte le voci,2023,7.4,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ALL,Tutte le voci,MDO,Comunale a gestione diretta,2023,19.1,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ALL,Tutte le voci,MMETP,Comunale a gestione affidata a terzi,2023,24,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ALL,Tutte le voci,PRPM,Privata con riserva di posti da parte del comune,2023,15.8,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,PEREXPPU,Spesa sostenuta dagli utenti sulla spesa totale (percentuale),ALL,Tutte le voci,ALL,Tutte le voci,2023,19.1,,,,,,,,,,,,,,,,,,
A,Annuale,ITCDE,Centro-nord,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,MDO,Comunale a gestione diretta,2023,73830,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITCDE,Centro-nord,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,54017,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITCDE,Centro-nord,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,24524,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
