FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,MAGEMBR_FROM2017,Età  media al matrimonio spose (tutte le età),2020,37.91,,,,,TIPO_DATO15__MAGEMBR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBR_FROM2017,Età  media al matrimonio spose (tutte le età),2021,36.57,,,,,TIPO_DATO15__MAGEMBR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBR_FROM2017,Età  media al matrimonio spose (tutte le età),2022,37.09,,,,,TIPO_DATO15__MAGEMBR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC1,Piemonte,MAGEMBR_FROM2017,Età  media al matrimonio spose (tutte le età),2023,37.71,e,Dato stimato,,,TIPO_DATO15__MAGEMBR_FROM2017_N1,'Età media delle spose, ponderata con i quozienti specifici di nuzialità.Per gli anni 2010-2016 si può cliccare sul Tipo dato e selezionare l"'indicatore corrispondente',,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2004,45.6,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2005,48.2,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2006,47.4,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2007,44.9,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2008,47.5,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2009,54.8,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2010,52,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2011,55.8,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2012,54.4,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2013,60.9,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2014,56.4,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2015,64.7,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2016,70.5,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2017,71.3,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2018,67.8,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2019,68.9,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2020,82.1,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2021,75.6,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2022,70.8,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',CMARRGP_FROM2017,Matrimoni civili (%),2023,75.2,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2004,456.6,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2005,413.7,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2006,463.4,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2007,494.8,,,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2008,494.5,,,,,,,,,,,,
